x_LiConc, GrandPotential, u, -u
0.48550000, 5.11036794, -1.85750000, 1.85750000
0.48600000, 5.10793868, -1.85250000, 1.85250000
0.48650000, 5.10672298, -1.85000000, 1.85000000
0.48700000, 5.10428951, -1.84500000, 1.84500000
0.48750000, 5.10185330, -1.84000000, 1.84000000
0.48800000, 5.09941444, -1.83500000, 1.83500000
0.48850000, 5.09697297, -1.83000000, 1.83000000
0.48900000, 5.09452899, -1.82500000, 1.82500000
0.48950000, 5.09208254, -1.82000000, 1.82000000
0.49000000, 5.08963372, -1.81500000, 1.81500000
0.49050000, 5.08718258, -1.81000000, 1.81000000
0.49100000, 5.08350171, -1.80250000, 1.80250000
0.49150000, 5.08104513, -1.79750000, 1.79750000
0.49200000, 5.07858649, -1.79250000, 1.79250000
0.49250000, 5.07489486, -1.78500000, 1.78500000
0.49300000, 5.07119903, -1.77750000, 1.77750000
0.49350000, 5.06749925, -1.77000000, 1.77000000
0.49400000, 5.06379575, -1.76250000, 1.76250000
0.49450000, 5.06008876, -1.75500000, 1.75500000
0.49500000, 5.05514107, -1.74500000, 1.74500000
0.49550000, 5.05018807, -1.73500000, 1.73500000
0.49600000, 5.04523025, -1.72500000, 1.72500000
0.49650000, 5.03902686, -1.71250000, 1.71250000
0.49700000, 5.03281741, -1.70000000, 1.70000000
0.49750000, 5.02411538, -1.68250000, 1.68250000
0.49800000, 5.01540462, -1.66500000, 1.66500000
0.49850000, 5.00294845, -1.64000000, 1.64000000
0.49900000, 4.98549150, -1.60500000, 1.60500000
0.49950000, 4.95927919, -1.55250000, 1.55250000
0.50000000, 4.90805179, -1.45000000, 1.45000000
0.50050000, 4.85677887, -1.34750000, 1.34750000
0.50100000, 4.83049076, -1.29500000, 1.29500000
0.50150000, 4.81420092, -1.26250000, 1.26250000
0.50200000, 4.80165772, -1.23750000, 1.23750000
0.50250000, 4.79161270, -1.21750000, 1.21750000
0.50300000, 4.78407131, -1.20250000, 1.20250000
0.50350000, 4.77778069, -1.19000000, 1.19000000
0.50400000, 4.77400289, -1.18250000, 1.18250000
0.50450000, 4.77022133, -1.17500000, 1.17500000
0.50500000, 4.76895958, -1.17250000, 1.17250000
0.50550000, 4.76769694, -1.17000000, 1.17000000
0.50600000, 4.76643316, -1.16750000, 1.16750000
0.50650000, 4.76516787, -1.16500000, 1.16500000
0.50700000, 4.76390054, -1.16250000, 1.16250000
0.50750000, 4.76390054, -1.16250000, 1.16250000
0.50800000, 4.76390054, -1.16250000, 1.16250000
0.50850000, 4.76263044, -1.16000000, 1.16000000
0.50900000, 4.76263044, -1.16000000, 1.16000000
0.50950000, 4.76263044, -1.16000000, 1.16000000
0.51000000, 4.76135652, -1.15750000, 1.15750000
0.51050000, 4.76135652, -1.15750000, 1.15750000
0.51100000, 4.76135652, -1.15750000, 1.15750000
0.51150000, 4.76135652, -1.15750000, 1.15750000
0.51200000, 4.76007730, -1.15500000, 1.15500000
0.51250000, 4.76007730, -1.15500000, 1.15500000
0.51300000, 4.76007730, -1.15500000, 1.15500000
0.51350000, 4.76007730, -1.15500000, 1.15500000
0.51400000, 4.76007730, -1.15500000, 1.15500000
0.51450000, 4.76007730, -1.15500000, 1.15500000
0.51500000, 4.75879071, -1.15250000, 1.15250000
0.51550000, 4.75879071, -1.15250000, 1.15250000
0.51600000, 4.75879071, -1.15250000, 1.15250000
0.51650000, 4.75879071, -1.15250000, 1.15250000
0.51700000, 4.75879071, -1.15250000, 1.15250000
0.51750000, 4.75879071, -1.15250000, 1.15250000
0.51800000, 4.75879071, -1.15250000, 1.15250000
0.51850000, 4.75879071, -1.15250000, 1.15250000
0.51900000, 4.75749384, -1.15000000, 1.15000000
0.51950000, 4.75749384, -1.15000000, 1.15000000
0.52000000, 4.75749384, -1.15000000, 1.15000000
