energy,taskid
-18484.81139,1109
-18484.99251,111
-18484.36648,1110
-18484.24274,1111
-18485.35628,1112
-18485.99025,1113
-18482.91365,1114
-18483.75423,1115
-18486.25905,1116
-18487.30847,1117
-18485.04848,1118
-18485.41856,1119
-18482.97459,112
-18485.3808,1120
-18483.65013,1121
-18485.50637,1122
-18484.44471,1123
-18484.93061,1124
-18485.00285,1125
-18485.95262,1126
-18485.3915,1127
-18485.74645,1128
-18485.21634,1129
-18487.31697,113
-18484.94486,1130
-18486.43689,1131
-18485.41664,1132
-18487.51665,1133
-18486.13838,1134
-18485.38499,1135
-18486.13962,1136
-18483.7016,1137
-18485.60901,1138
-18486.39538,1139
-18486.83594,114
-18483.4224,1140
-18485.035,1141
-18485.54482,1142
-18483.27981,1143
-18485.80288,1144
-18484.11383,1145
-18487.01125,1146
-18484.4826,1147
-18484.34274,1148
-18486.39601,1149
-18485.59581,115
-18486.40384,1150
-18485.63502,1151
-18485.17764,1152
-18484.98021,1153
-18484.0213,1154
-18485.40493,1155
-18485.93298,1156
-18485.43235,1157
-18486.21806,1158
-18487.20623,1159
-18486.63866,116
-18484.82237,1160
-18485.85889,1161
-18485.96976,1162
-18484.63252,1163
-18485.21964,1164
-18485.72099,1165
-18485.34306,1166
-18484.66721,1167
-18486.38626,1168
-18484.31662,1169
-18486.1107,117
-18485.93039,1170
-18485.3905,1171
-18486.99758,1172
-18485.88854,1173
-18487.57981,1174
-18483.38233,1175
-18484.46553,1176
-18485.80555,1177
-18484.94502,1178
-18485.7399,1179
-18486.93929,118
-18487.01843,1180
-18486.99993,1181
-18486.28425,1182
-18487.78861,1183
-18485.71611,1184
-18483.24415,1185
-18485.65687,1186
-18485.68268,1187
-18485.16822,1188
-18485.66628,1189
-18484.91431,119
-18485.44588,1190
-18485.12946,1191
-18484.40105,1192
-18484.72327,1193
-18485.90233,1194
-18484.96418,1195
-18483.87043,1196
-18484.92375,1197
-18485.46519,1198
-18486.53744,1199
-18483.36305,12
-18485.87325,120
-18483.45992,1200
-18483.16902,1201
-18484.39922,1202
-18486.18461,1203
-18485.80091,1204
-18485.01424,1205
-18485.92624,1206
-18487.65741,1207
-18485.28405,1208
-18485.63021,1209
-18484.69857,121
-18487.88677,1210
-18486.01684,1211
-18484.55481,1212
-18483.66985,1213
-18486.95206,1214
-18486.06245,1215
-18486.73339,1216
-18484.85275,1217
-18483.73916,1218
-18484.6751,1219
-18485.69334,122
-18484.46866,1220
-18484.46331,1221
-18487.06008,1222
-18483.63732,1223
-18484.75562,1224
-18486.11474,1225
-18485.23007,1226
-18487.78884,1227
-18484.26009,1228
-18485.83734,1229
-18484.94378,123
-18485.23907,1230
-18485.49948,1231
-18483.94719,1232
-18484.55202,1233
-18487.28467,1234
-18485.05811,1235
-18485.56237,1236
-18483.77137,1237
-18484.29864,1238
-18485.65123,1239
-18484.63293,124
-18485.32781,1240
-18485.9431,1241
