taskid,energy,Gnorm,a,b,c,alpha,beta,gamma,V,Static_xx,Static_yy,Static_zz,ε0,HighFreq_xx,HighFreq_yy,HighFreq_zz,ε∞,Bulk0,Shear0,Young0,C11,C12,C44,V_La_avg,V_Ce_avg,V_O_avg,Weight,Wi
103,-15922.08446209,0.00002035,19.516323,20.280104,19.145632,90.176895,89.843861,89.762487,7577.578622,6.627905,21.16890,20.99036,22.18264,21.447300000000002,3.92982,3.97779,3.97293,3.96018,148.83423,64.51097,165.50281,230.7633,101.5360,70.1440,-29.39119818749999,0,0,2.849428210519709e-70,2.8492752939773023e-70
1030,-15917.01785917,0.00000015,19.536026,20.356851,19.095532,89.815466,90.355557,89.691157,7593.843055,6.613709,22.31776,21.06926,20.20813,21.198383333333336,3.93837,3.94280,3.98629,3.9558199999999997,135.09526,61.93131,157.49511,213.1884,92.7927,67.1443,-29.46431882500001,-40.01147383999999,21.435658959374983,2.1856208235315766e-155,2.1855035306732718e-155
1031,-15920.29506176,0.00000069,19.495866,20.305638,19.169050,90.019438,90.009752,90.068126,7588.561119,6.618313,22.35094,22.46195,21.70226,22.17171666666667,3.94258,3.96079,3.93394,3.94577,143.53652,62.33759,154.37779,216.1406,96.0944,67.5348,-29.528949662499976,-40.018082090000014,21.414608115624997,2.4783077013120253e-100,2.478174701209301e-100
1032,-15919.95617239,0.00007998,19.504979,20.270622,19.125671,90.043075,90.000308,89.867572,7561.848294,6.641692,21.59046,21.96295,21.87536,21.80959,3.98392,4.00780,3.96994,3.9872199999999993,150.52898,65.24534,167.15640,239.6223,106.6846,69.7491,0,-39.978072870000005,0,5.024170616349467e-106,5.023900990746591e-106
1033,-15922.81208902,0.00001562,19.541662,20.324324,19.074967,89.824089,90.256117,89.723139,7575.824823,6.629439,23.21901,21.82362,22.98318,22.67527,3.96151,3.92001,3.95589,3.9458033333333336,147.19190,64.33209,169.29482,237.0212,104.4982,67.4938,-29.458634412500004,-39.987138110000004,21.427299971874984,4.76817459281924e-58,4.767918705420627e-58
1034,-15917.62165540,0.00000590,19.492232,20.336375,19.107890,89.760956,89.985219,89.826850,7574.292493,6.630780,27.52884,21.92817,23.51897,24.325326666666665,3.96788,3.97878,3.96527,3.9706433333333333,141.11037,62.43138,140.46217,205.6231,93.9065,69.5382,0,-40.01699351999999,0,3.04022025125449e-145,3.0400570957248088e-145
1035,-15919.34671153,0.00000016,19.501455,20.335212,19.141377,89.786968,90.135508,89.949617,7590.746709,6.616407,21.56340,21.09336,21.06274,21.239833333333337,3.93520,3.88476,3.91778,3.91258,144.00795,64.35574,166.02539,232.1619,100.3410,67.9856,-29.499098349999997,0,21.4251152875,2.901165843823523e-116,2.9010101507451197e-116
1036,-15920.07006442,0.00000016,19.496864,20.355992,19.144437,89.759368,90.057884,90.160407,7597.905454,6.610173,22.02071,21.80808,21.68016,21.836316666666665,3.94346,3.91753,3.96342,3.9414700000000003,144.18550,63.16635,168.81836,232.3945,97.6954,63.4525,-29.466574950000005,-40.00923809,0,4.1149662112543014e-104,4.114745378736808e-104
1037,-15918.74666893,0.00003729,19.579604,20.264919,19.142561,90.007742,90.133701,89.754406,7595.277202,6.612461,21.48305,21.34321,21.18605,21.337436666666665,3.93782,3.95628,3.93944,3.944513333333333,148.29259,64.97662,164.25747,231.7377,101.6839,68.9017,0,-39.99215508,21.404882293750006,2.4115736869681134e-126,2.4114442681925822e-126
1038,-15918.87714206,0.00000009,19.486403,20.280328,19.176410,90.005559,89.710289,89.996224,7578.240972,6.627326,22.20748,20.87826,20.60269,21.229476666666667,3.95787,3.98527,3.97349,3.97221,147.17841,64.09363,157.18462,222.0335,106.4102,70.3559,-29.428344649999996,-40.04543254,21.435503240624982,3.7510482544897714e-124,3.7508469518819854e-124
